Precinct,Timothy D. Wood,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 4-C,438,438,0,399,837
HUB 4-D,427,427,0,369,796
HUB 5-A,405,405,0,339,744
HUB 5-B,402,402,0,344,746
HUB 5-C,385,385,0,364,749
HUB 5-D,406,406,0,365,771
HUB 6-A,323,323,0,315,638
HUB 6-B,450,450,0,415,865
HUB 6-C,420,420,0,388,808
HUB 6-D,380,380,0,381,761
JAKTWP-A,391,391,0,568,959
JAKTWP-B,281,281,0,391,672
JEFTWP-A,456,456,0,483,939
JEFTWP-B,293,293,0,257,550
JEFTWP-C,318,318,0,376,694
JEFTWP-D,412,412,0,271,683
JNLB-A,203,203,0,276,479
JNLB-B,324,324,0,423,747
KT 1-A,340,340,0,317,657
KT 1-B,285,285,0,367,652
KT 1-C,415,415,0,459,874
KT 1-D,448,448,0,395,843
KT 1-E,343,343,0,339,682
KT 1-F,324,324,0,343,667
KT 1-G,331,331,0,378,709
KT 1-H,461,461,0,451,912
KT 1-I,407,407,0,376,783
KT 2-A,365,365,0,401,766
KT 2-B,381,381,0,358,739
KT 2-C,407,407,0,386,793
KT 2-D,461,461,0,412,873
KT 2-E,430,430,0,379,809
KT 2-F,357,357,0,307,664
KT 2-G,484,484,0,546,1030
KT 2-H,412,412,0,461,873
KT 2-I,327,327,0,333,660
KT 2-J,306,306,0,248,554
KT 3-A,421,421,0,407,828
KT 3-B,398,398,0,394,792
KT 3-C,359,359,0,343,702
KT 3-D,413,413,0,433,846
KT 3-E,340,340,0,344,684
KT 3-F,385,385,0,294,679
KT 3-G,428,428,0,379,807
KT 3-H,329,329,0,359,688
KT 3-I,350,350,0,321,671
KT 3-J,469,469,0,477,946
KT 3-K,477,477,0,445,922
KT 4-A,475,475,0,464,939
KT 4-B,276,276,0,287,563
KT 4-C,427,427,0,387,814
KT 4-D,324,324,0,407,731
KT 4-E,388,388,0,382,770
KT 4-F,499,499,0,497,996
KT 4-G,361,361,0,318,679
KT 4-H,446,446,0,402,848
KT 4-I,398,398,0,368,766
KT 4-J,413,413,0,378,791
KT 4-K,407,407,0,493,900
MBG 1-A,417,417,0,442,859
MBG 1-B,423,423,0,353,776
MBG 1-C,442,442,0,371,813
MBG 2-A,283,283,0,327,610
MBG 2-B,388,388,0,419,807
MBG 2-C,413,413,0,448,861
MBG 3-A,306,306,0,290,596
MBG 3-B,373,373,0,422,795
MBG 3-C,353,353,0,342,695
MBG 3-D,431,431,0,412,843
MBG 4-A,364,364,0,376,740
MBG 4-B,322,322,0,340,662
MBG 4-C,305,305,0,292,597
MBG 4-D,562,562,0,538,1100
MIATWP-A,389,389,0,427,816
MIATWP-B,334,334,0,384,718
MIATWP-C,366,366,0,475,841
MIATWP-D,323,323,0,386,709
MIATWP-E,468,468,0,503,971
MIATWP-F,413,413,0,342,755
MIATWP-G,330,330,0,350,680
MIATWP-H,351,351,0,352,703
MIATWP-I,215,215,0,214,429
MIATWP-J,295,295,0,402,697
MIATWP-K,446,446,0,493,939
MIATWP-L,278,278,0,338,616
MIATWP-M,377,377,0,324,701
MIATWP-N,400,400,0,401,801
MIATWP-O,375,375,0,375,750
MIATWP-P,286,286,0,238,524
MIATWP-Q,429,429,0,367,796
MIATWP-R,214,214,0,214,428
MIATWP-S,344,344,0,407,751
MIATWP-T,298,298,0,327,625
MIATWP-U,307,307,0,296,603
MIATWP-V,359,359,0,378,737
MOR 1-A,208,208,0,256,464
MOR 2-A,421,421,0,413,834
MOR 3-A,234,234,0,293,527
MOR 4-A,240,240,0,227,467
MOR 4-B,207,207,0,177,384
OAK-A,443,443,0,390,833
OAK-B,437,437,0,390,827
OAK-C,343,343,0,338,681
OAK-D,365,365,0,319,684
OAK-E,350,350,0,352,702
OAK-F,480,480,0,389,389
OAK-G,399,399,0,355,754
OAK-H,307,307,0,303,610
PERTWP-A,252,252,0,346,598
PERTWP-B,293,293,0,360,653
PERTWP-C,316,316,0,452,768
PHBG,123,123,0,114,237
PM,283,283,0,244,527
PNLB,253,253,0,278,531
RV-A,335,335,0,335,670
RV-B,261,261,0,299,560
RV-C,351,351,0,357,708
RV-D,323,323,0,405,728
RV-E,282,282,0,338,620
RV-F,295,295,0,306,601
RV-G,256,256,0,283,539
RV-H,183,183,0,179,362
RV-I,246,246,0,280,526
RV-J,267,267,0,245,512
RV-K,338,338,0,353,691
RV-L,196,196,0,225,421
RV-M,386,386,0,330,716
RV-N,260,260,0,262,522
RV-O,349,349,0,368,717
RV-P,404,404,0,353,757
TR 1-A,430,430,0,304,734
TR 1-B,222,222,0,184,406
TR 1-C,303,303,0,232,535
TR 1-D,276,276,0,164,440
TR 1-E,439,439,0,292,731
TR 2-A,372,372,0,240,612
TR 2-B,399,399,0,310,709
TR 2-C,303,303,0,216,519
TR 2-D,251,251,0,180,431
TR 2-E,321,321,0,185,506
TR 3-A,259,259,0,213,472
