Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
HARTWP-O,498,190,688,0,57,745
HUB 1-A,423,354,777,0,34,811
HUB 1-B,531,377,908,0,62,970
HUB 1-C,430,250,680,0,54,734
HUB 1-D,458,399,857,0,44,901
HUB 2-A,452,332,784,0,49,833
HUB 2-B,486,357,843,0,42,885
HUB 3-A,316,280,596,0,33,629
HUB 3-B,377,160,537,0,42,579
HUB 3-C,328,228,556,0,33,589
HUB 3-D,438,359,797,0,47,844
HUB 3-E,397,226,623,0,26,649
HUB 4-A,421,325,746,0,57,803
HUB 4-B,390,314,704,0,50,754
HUB 4-C,471,315,786,1,49,836
HUB 4-D,450,303,753,0,44,797
HUB 5-A,400,290,690,0,54,744
HUB 5-B,427,272,699,0,45,744
HUB 5-C,383,318,701,0,48,749
HUB 5-D,420,308,728,0,42,770
HUB 6-A,331,276,607,1,29,637
HUB 6-B,415,407,822,0,42,864
HUB 6-C,400,350,750,1,56,807
HUB 6-D,382,332,714,0,43,757
JAKTWP-A,310,616,926,0,33,959
JAKTWP-B,245,401,646,0,26,672
JEFTWP-A,400,492,892,0,46,938
JEFTWP-B,318,196,514,0,37,551
JEFTWP-C,279,399,678,0,14,692
JEFTWP-D,454,194,648,0,33,681
JNLB-A,177,276,453,0,26,479
JNLB-B,280,421,701,0,47,748
KT 1-A,468,157,625,0,32,657
KT 1-B,352,247,599,0,52,651
KT 1-C,501,323,824,0,50,874
KT 1-D,497,282,779,0,62,841
KT 1-E,379,259,638,0,42,680
KT 1-F,379,233,612,0,55,667
KT 1-G,380,275,655,0,50,705
KT 1-H,561,297,858,0,52,910
KT 1-I,444,290,734,0,47,781
KT 2-A,470,248,718,0,44,762
KT 2-B,444,259,703,0,35,738
KT 2-C,473,284,757,0,35,792
KT 2-D,512,326,838,0,35,873
KT 2-E,468,312,780,0,29,809
KT 2-F,409,228,637,0,26,663
KT 2-G,596,385,981,0,48,1029
KT 2-H,512,311,823,0,48,871
KT 2-I,388,236,624,0,36,660
KT 2-J,368,153,521,0,33,554
KT 3-A,553,233,786,0,41,827
KT 3-B,571,203,774,0,38,812
KT 3-C,484,269,753,0,39,792
KT 3-D,502,146,648,0,53,701
KT 3-E,528,276,804,0,41,845
KT 3-F,433,209,642,0,41,683
