Precinct,Mary Montgomery,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 4-D,438,438,0,358,796
HUB 5-A,413,413,0,331,744
HUB 5-B,398,398,0,348,746
HUB 5-C,390,390,0,359,749
HUB 5-D,413,413,0,358,771
HUB 6-A,343,343,0,295,638
HUB 6-B,457,457,0,408,865
HUB 6-C,435,435,0,373,808
HUB 6-D,395,395,0,366,761
JAKTWP-A,409,409,0,550,959
JAKTWP-B,296,296,0,376,672
JEFTWP-A,481,481,0,458,939
JEFTWP-B,314,314,0,236,550
JEFTWP-C,334,334,0,360,694
JEFTWP-D,414,414,0,269,683
JNLB-A,217,217,0,262,479
JNLB-B,346,346,0,401,747
KT 1-A,350,350,0,307,657
KT 1-B,314,314,0,338,652
KT 1-C,421,421,0,453,874
KT 1-D,459,459,0,384,843
KT 1-E,351,351,0,331,682
KT 1-F,350,350,0,317,667
KT 1-G,331,331,0,378,709
KT 1-H,463,463,0,449,912
KT 1-I,413,413,0,370,783
KT 2-A,385,385,0,381,766
KT 2-B,397,397,0,342,739
KT 2-C,415,415,0,378,793
KT 2-D,476,476,0,397,873
KT 2-E,438,438,0,371,809
KT 2-F,367,367,0,297,664
KT 2-G,500,500,0,530,1030
KT 2-H,428,428,0,445,873
KT 2-I,346,346,0,314,660
KT 2-J,313,313,0,241,554
KT 3-A,439,439,0,389,828
KT 3-B,452,452,0,361,813
KT 3-C,420,420,0,372,792
KT 3-D,385,385,0,317,702
KT 3-E,430,430,0,416,846
KT 3-F,351,351,0,333,684
KT 3-G,392,392,0,287,679
KT 3-H,442,442,0,365,807
KT 3-I,358,358,0,330,688
KT 3-J,375,375,0,296,671
KT 3-K,487,487,0,459,946
KT 4-A,503,503,0,419,922
KT 4-B,505,505,0,434,939
KT 4-C,282,282,0,281,563
KT 4-D,439,439,0,375,814
KT 4-E,339,339,0,392,731
KT 4-F,425,425,0,345,770
KT 4-G,530,530,0,466,996
KT 4-H,358,358,0,321,679
KT 4-I,459,459,0,389,848
KT 4-J,412,412,0,354,766
KT 4-K,421,421,0,370,791
MBG 1-A,407,407,0,493,900
MBG 1-B,424,424,0,435,859
MBG 1-C,418,418,0,358,776
MBG 2-A,294,294,0,316,610
MBG 2-B,405,405,0,402,807
MBG 2-C,414,414,0,447,861
MBG 3-A,323,323,0,273,596
MBG 3-B,372,372,0,423,795
MBG 3-C,361,361,0,334,695
MBG 3-D,431,431,0,412,843
MBG 4-A,371,371,0,369,740
MBG 4-B,340,340,0,322,662
MBG 4-C,313,313,0,284,597
MBG 4-D,565,565,0,535,1100
MIATWP-A,402,402,0,414,816
MIATWP-B,350,350,0,368,718
MIATWP-C,400,400,0,441,841
MIATWP-D,323,323,0,386,709
MIATWP-E,496,496,0,475,971
MIATWP-F,420,420,0,335,755
MIATWP-G,344,344,0,336,680
MIATWP-H,374,374,0,329,703
MIATWP-I,226,226,0,203,429
MIATWP-J,294,294,0,403,697
MIATWP-K,476,476,0,463,939
MIATWP-L,293,293,0,323,616
MIATWP-M,388,388,0,313,701
MIATWP-N,428,428,0,373,801
MIATWP-O,392,392,0,358,750
MIATWP-P,285,285,0,239,524
MIATWP-Q,446,446,0,350,796
MIATWP-R,230,230,0,198,428
MIATWP-S,363,363,0,388,751
MIATWP-T,300,300,0,325,625
MIATWP-U,328,328,0,275,603
MIATWP-V,352,352,0,385,737
MOR 1-A,217,217,0,247,464
MOR 2-A,432,432,0,402,834
MOR 3-A,254,254,0,273,527
MOR 4-A,243,243,0,224,467
MOR 4-B,226,226,0,158,384
OAK-A,509,509,0,324,833
OAK-B,490,490,0,337,827
OAK-C,365,365,0,316,681
OAK-D,371,371,0,313,684
OAK-E,376,376,0,326,702
OAK-F,528,528,0,341,869
OAK-G,429,429,0,325,754
OAK-H,342,342,0,268,610
PERTWP-A,254,254,0,344,598
PERTWP-B,302,302,0,351,653
PERTWP-C,335,335,0,433,768
PHBG,132,132,0,105,237
PM,281,281,0,246,527
PNLB,271,271,0,260,531
RV-A,344,344,0,326,670
RV-B,259,259,0,301,560
RV-C,350,350,0,358,708
RV-D,330,330,0,398,728
RV-E,297,297,0,323,620
RV-F,318,318,0,283,601
RV-G,272,272,0,267,539
RV-H,190,190,0,172,362
RV-I,265,265,0,261,526
RV-J,281,281,0,231,512
RV-K,361,361,0,330,691
RV-L,207,207,0,214,421
RV-M,403,403,0,313,716
RV-N,263,263,0,259,522
RV-O,367,367,0,350,717
RV-P,422,422,0,335,757
TR 1-A,425,425,0,309,734
TR 1-B,235,235,0,171,406
TR 1-C,315,315,0,220,535
TR 1-D,285,285,0,155,440
TR 1-E,451,451,0,280,731
TR 2-A,375,375,0,237,612
TR 2-B,411,411,0,298,709
TR 2-C,325,325,0,194,519
TR 2-D,248,248,0,183,431
TR 2-E,318,318,0,188,506
TR 3-A,265,265,0,207,472
TR 3-B,309,309,0,301,610
TR 3-C,256,256,0,214,470
TR 3-D,371,371,0,312,683
TR 4-A,417,417,0,253,670
TR 4-B,329,329,0,234,563
TR 4-C,284,284,0,165,449
TR 4-D,284,284,0,186,470
UN-A,255,255,0,224,479
UN-B,373,373,0,344,717
UN-C,396,396,0,402,798
UN-D,478,478,0,366,844
UN-E,401,401,0,426,827
VD-A,358,358,0,358,716
VD-B,253,253,0,192,445
VD-C,438,438,0,400,838
VD-D,397,397,0,344,741
VD-E,283,283,0,267,550
VD-F,457,457,0,393,850
VD-G,314,314,0,349,663
VD-H,472,472,0,433,905
VD-I,374,374,0,380,754
VD-J,466,466,0,486,952
VD-K,482,482,0,396,878
WASTWP-A,386,386,0,392,778
WASTWP-B,565,565,0,521,1086
WASTWP-C,440,440,0,455,895
WASTWP-D,335,335,0,322,657
WASTWP-E,476,476,0,444,920
WASTWP-F,322,322,0,279,601
WASTWP-G,503,503,0,497,1000
WASTWP-H,404,404,0,405,809
WASTWP-I,360,360,0,313,673
WASTWP-J,456,456,0,412,868
WASTWP-K,396,396,0,423,819
WASTWP-L,347,347,0,381,728
WASTWP-M,456,456,0,481,937
WASTWP-N,457,457,0,387,844
WASTWP-O,442,442,0,439,881
WASTWP-P,517,517,0,473,990
WASTWP-Q,497,497,0,473,970
WASTWP-R,394,394,0,317,711
WASTWP-S,350,350,0,392,742
WASTWP-T,388,388,0,352,740
WASTWP-U,442,442,0,437,879
WASTWP-V,413,413,0,427,840
WASTWP-W,303,303,0,292,595
WASTWP-X,379,379,0,330,709
WASTWP-Y,587,587,0,521,1108
WASTWP-Z,403,403,0,357,760
WASTWP-AA,409,409,0,419,828
WASTWP-BB,324,324,0,300,624
WASTWP-CC,488,488,0,540,1028
WCR-A,343,343,0,360,703
WCR-B,373,373,0,363,736
WCR-C,366,366,0,388,754
WCR-D,355,355,0,381,736
WCR-E,252,252,0,228,480
WCR-F,296,296,0,275,571
WCR-G,396,396,0,359,755
WCR-H,353,353,0,364,717
WCR-I,290,290,0,229,519
