Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,294,152,446,0,80,526
RV-A,334,245,579,0,88,667
RV-B,252,225,477,0,83,560
RV-C,353,241,594,0,114,708
RV-D,337,273,610,0,118,728
RV-E,264,270,534,0,85,619
RV-F,307,200,507,0,94,601
RV-G,243,199,442,0,94,536
RV-H,184,117,301,0,59,360
RV-I,237,196,433,0,93,526
RV-J,248,175,423,0,89,512
RV-K,335,239,574,0,116,690
RV-L,206,144,350,0,70,420
RV-M,397,238,635,0,79,714
RV-N,242,192,434,0,88,522
RV-O,361,245,606,0,110,716
RV-P,381,275,656,1,99,756
