Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 14-A,6,6,12,0,0,12
DAY 14-C,0,2,2,0,0,2
JEFTWP-A,193,694,887,0,51,938
JEFTWP-B,250,266,516,0,35,551
JEFTWP-C,94,580,674,0,18,692
JEFTWP-D,364,285,649,0,32,681
