Precinct,Jennifer A. Petrella,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 4-C,440,440,0,397,837
HUB 4-D,406,406,0,390,796
HUB 5-A,397,397,0,347,744
HUB 5-B,375,375,0,371,746
HUB 5-C,362,362,0,387,749
HUB 5-D,377,377,0,394,771
HUB 6-A,310,310,0,328,638
HUB 6-B,435,435,0,430,865
HUB 6-C,401,401,0,407,808
HUB 6-D,380,380,0,381,761
JAKTWP-A,369,369,0,590,959
JAKTWP-B,288,288,0,384,672
JEFTWP-A,372,372,0,567,939
JEFTWP-B,233,233,0,317,550
JEFTWP-C,286,286,0,408,694
JEFTWP-D,271,271,0,412,683
JNLB-A,208,208,0,271,479
JNLB-B,329,329,0,418,747
KT 1-A,303,303,0,354,657
KT 1-B,300,300,0,352,652
KT 1-C,401,401,0,473,874
KT 1-D,440,440,0,403,843
KT 1-E,329,329,0,353,682
KT 1-F,315,315,0,352,667
KT 1-G,318,318,0,391,709
KT 1-H,424,424,0,488,912
KT 1-I,401,401,0,382,783
KT 2-A,355,355,0,411,766
KT 2-B,376,376,0,363,739
KT 2-C,401,401,0,392,793
KT 2-D,425,425,0,448,873
KT 2-E,427,427,0,382,809
KT 2-F,345,345,0,319,664
KT 2-G,480,480,0,550,1030
KT 2-H,407,407,0,466,873
KT 2-I,343,343,0,317,660
KT 2-J,275,275,0,279,554
KT 3-A,374,374,0,454,828
KT 3-B,380,380,0,433,813
KT 3-C,393,393,0,399,792
KT 3-D,342,342,0,360,702
KT 3-E,412,412,0,434,846
KT 3-F,332,332,0,352,684
KT 3-G,367,367,0,312,679
KT 3-H,388,388,0,419,807
KT 3-I,339,339,0,349,688
KT 3-J,328,328,0,343,671
KT 3-K,457,457,0,489,946
KT 4-A,419,419,0,503,922
KT 4-B,411,411,0,528,939
KT 4-C,259,259,0,304,563
KT 4-D,381,381,0,433,814
KT 4-E,322,322,0,409,731
KT 4-F,368,368,0,402,770
KT 4-G,479,479,0,517,996
KT 4-H,329,329,0,350,679
KT 4-I,390,390,0,458,848
KT 4-J,378,378,0,388,766
KT 4-K,366,366,0,425,791
MBG 1-A,387,387,0,513,900
MBG 1-B,402,402,0,457,859
MBG 1-C,400,400,0,376,776
MBG 2-A,274,274,0,336,610
MBG 2-B,398,398,0,409,807
MBG 2-C,426,426,0,435,861
MBG 3-A,300,300,0,296,596
MBG 3-B,358,358,0,437,795
MBG 3-C,316,316,0,379,695
MBG 3-D,411,411,0,432,843
MBG 4-A,372,372,0,368,740
MBG 4-B,341,341,0,321,662
MBG 4-C,306,306,0,291,597
MBG 4-D,561,561,0,539,1100
MIATWP-A,372,372,0,444,816
MIATWP-B,315,315,0,403,718
MIATWP-C,357,357,0,484,841
MIATWP-D,312,312,0,397,709
MIATWP-E,494,494,0,477,971
MIATWP-F,395,395,0,360,755
MIATWP-G,332,332,0,348,680
MIATWP-H,357,357,0,346,703
MIATWP-I,196,196,0,233,429
MIATWP-J,304,304,0,393,697
MIATWP-K,443,443,0,496,939
MIATWP-L,279,279,0,337,616
MIATWP-M,363,363,0,338,701
MIATWP-N,385,385,0,416,801
MIATWP-O,363,363,0,387,750
MIATWP-P,269,269,0,255,524
