Precinct,Rob Streck (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 4-C,574,574,0,263,837
HUB 4-D,510,510,0,286,796
HUB 5-A,540,540,0,204,744
HUB 5-B,511,511,0,235,746
HUB 5-C,508,508,0,241,749
HUB 5-D,544,544,0,227,771
HUB 6-A,440,440,0,198,638
HUB 6-B,617,617,0,248,865
HUB 6-C,542,542,0,266,808
HUB 6-D,583,583,0,178,761
JAKTWP-A,767,767,0,192,959
JAKTWP-B,543,543,0,129,672
JEFTWP-A,550,550,0,389,939
JEFTWP-B,279,279,0,271,550
JEFTWP-C,468,468,0,226,694
JEFTWP-D,222,222,0,461,683
JNLB-A,367,367,0,112,479
JNLB-B,592,592,0,155,747
KT 1-A,390,390,0,267,657
KT 1-B,468,468,0,184,652
KT 1-C,591,591,0,283,874
KT 1-D,542,542,0,301,843
KT 1-E,451,451,0,231,682
KT 1-F,431,431,0,236,667
KT 1-G,463,463,0,246,709
KT 1-H,589,589,0,323,912
KT 1-I,537,537,0,246,783
KT 2-A,494,494,0,272,766
KT 2-B,487,487,0,252,739
KT 2-C,512,512,0,281,793
KT 2-D,554,554,0,319,873
KT 2-E,582,582,0,227,809
KT 2-F,457,457,0,207,664
KT 2-G,716,716,0,314,1030
KT 2-H,540,540,0,333,873
KT 2-I,442,442,0,218,660
KT 2-J,345,345,0,209,554
KT 3-A,514,514,0,314,828
KT 3-B,471,471,0,342,813
KT 3-C,544,544,0,248,792
KT 3-D,398,398,0,304,702
KT 3-E,536,536,0,310,846
KT 3-F,418,418,0,266,684
KT 3-G,473,473,0,206,679
KT 3-H,508,508,0,299,807
KT 3-I,463,463,0,225,688
KT 3-J,418,418,0,253,671
KT 3-K,629,629,0,317,946
KT 4-A,512,512,0,410,922
KT 4-B,474,474,0,465,939
KT 4-C,366,366,0,197,563
KT 4-D,508,508,0,306,814
KT 4-E,444,444,0,287,731
KT 4-F,456,456,0,314,770
KT 4-G,646,646,0,350,996
KT 4-H,469,469,0,210,679
KT 4-I,496,496,0,352,848
KT 4-J,454,454,0,312,766
KT 4-K,478,478,0,313,791
MBG 1-A,603,603,0,297,900
MBG 1-B,642,642,0,217,859
MBG 1-C,538,538,0,238,776
MBG 2-A,422,422,0,188,610
MBG 2-B,599,599,0,208,807
MBG 2-C,645,645,0,216,861
MBG 3-A,443,443,0,153,596
MBG 3-B,523,523,0,272,795
MBG 3-C,477,477,0,218,695
MBG 3-D,632,632,0,211,843
MBG 4-A,547,547,0,193,740
MBG 4-B,494,494,0,168,662
MBG 4-C,434,434,0,163,597
MBG 4-D,811,811,0,289,1100
MIATWP-A,545,545,0,271,816
MIATWP-B,431,431,0,287,718
MIATWP-C,657,657,0,184,841
MIATWP-D,449,449,0,260,709
MIATWP-E,669,669,0,302,971
MIATWP-F,498,498,0,257,755
MIATWP-G,482,482,0,198,680
MIATWP-H,473,473,0,230,703
MIATWP-I,257,257,0,172,429
MIATWP-J,545,545,0,152,697
MIATWP-K,640,640,0,299,939
MIATWP-L,393,393,0,223,616
MIATWP-M,480,480,0,221,701
MIATWP-N,535,535,0,266,801
MIATWP-O,506,506,0,244,750
MIATWP-P,327,327,0,197,524
MIATWP-Q,495,495,0,301,796
MIATWP-R,279,279,0,149,428
MIATWP-S,535,535,0,216,751
MIATWP-T,420,420,0,205,625
MIATWP-U,391,391,0,212,603
MIATWP-V,508,508,0,229,737
MOR 1-A,332,332,0,132,464
MOR 2-A,591,591,0,243,834
MOR 3-A,373,373,0,154,527
MOR 4-A,288,288,0,179,467
MOR 4-B,198,198,0,186,384
OAK-A,441,441,0,392,833
OAK-B,487,487,0,340,827
OAK-C,332,332,0,349,681
OAK-D,368,368,0,316,684
OAK-E,340,340,0,362,702
OAK-F,428,428,0,441,869
OAK-G,410,410,0,344,754
OAK-H,351,351,0,259,610
PERTWP-A,499,499,0,99,598
PERTWP-B,543,543,0,110,653
PERTWP-C,613,613,0,155,768
PHBG,196,196,0,41,237
PM,358,358,0,169,527
PNLB,426,426,0,105,531
RV-A,477,477,0,193,670
RV-B,398,398,0,162,560
RV-C,481,481,0,227,708
RV-D,530,530,0,198,728
RV-E,467,467,0,153,620
RV-F,385,385,0,216,601
RV-G,383,383,0,156,539
RV-H,263,263,0,99,362
RV-I,371,371,0,155,526
RV-J,387,387,0,125,512
RV-K,448,448,0,243,691
RV-L,318,318,0,103,421
RV-M,508,508,0,208,716
RV-N,367,367,0,155,522
RV-O,501,501,0,216,717
RV-P,543,543,0,214,757
TR 1-A,353,353,0,381,734
TR 1-B,190,190,0,216,406
TR 1-C,164,164,0,371,535
TR 1-D,164,164,0,276,440
TR 1-E,237,237,0,494,731
TR 2-A,245,245,0,367,612
TR 2-B,237,237,0,472,709
TR 2-C,171,171,0,348,519
TR 2-D,201,201,0,230,431
TR 2-E,176,176,0,330,506
TR 3-A,241,241,0,231,472
TR 3-B,402,402,0,208,610
TR 3-C,256,256,0,214,470
TR 3-D,275,275,0,408,683
TR 4-A,200,200,0,470,670
TR 4-B,210,210,0,353,563
TR 4-C,193,193,0,256,449
TR 4-D,186,186,0,284,470
UN-A,368,368,0,111,479
UN-B,529,529,0,188,717
UN-C,602,602,0,196,798
UN-D,635,635,0,209,844
UN-E,623,623,0,204,827
VD-A,525,525,0,191,716
VD-B,355,355,0,90,445
VD-C,655,655,0,183,838
VD-D,528,528,0,213,741
VD-E,415,415,0,135,550
VD-F,607,607,0,243,850
VD-G,467,467,0,196,663
VD-H,690,690,0,215,905
VD-I,575,575,0,179,754
VD-J,709,709,0,243,952
VD-K,652,652,0,226,878
WASTWP-A,529,529,0,249,778
WASTWP-B,741,741,0,345,1086
WASTWP-C,585,585,0,310,895
WASTWP-D,432,432,0,225,657
WASTWP-E,612,612,0,308,920
WASTWP-F,383,383,0,218,601
WASTWP-G,647,647,0,353,1000
WASTWP-H,534,534,0,275,809
WASTWP-I,419,419,0,254,673
WASTWP-J,541,541,0,327,868
WASTWP-K,537,537,0,282,819
WASTWP-L,429,429,0,299,728
WASTWP-M,641,641,0,296,937
WASTWP-N,507,507,0,337,844
WASTWP-O,570,570,0,311,881
WASTWP-P,687,687,0,303,990
WASTWP-Q,622,622,0,348,970
WASTWP-R,511,511,0,200,711
WASTWP-S,484,484,0,258,742
WASTWP-T,439,439,0,301,740
WASTWP-U,610,610,0,269,879
WASTWP-V,543,543,0,297,840
WASTWP-W,375,375,0,220,595
WASTWP-X,490,490,0,219,709
WASTWP-Y,717,717,0,391,1108
WASTWP-Z,494,494,0,266,760
WASTWP-AA,533,533,0,295,828
WASTWP-BB,397,397,0,227,624
WASTWP-CC,640,640,0,388,1028
WCR-A,484,484,0,219,703
WCR-B,503,503,0,233,736
WCR-C,558,558,0,196,754
WCR-D,513,513,0,223,736
WCR-E,287,287,0,193,480
WCR-F,362,362,0,209,571
WCR-G,476,476,0,279,755
WCR-H,518,518,0,199,717
WCR-I,291,291,0,228,519
