Precinct,Michael P. Donnelly (DEM),Megan E. Shanahan (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 4-D,386,356,742,0,54,796
HUB 5-A,294,381,675,0,69,744
HUB 5-B,325,350,675,0,71,746
HUB 5-C,303,371,674,1,74,749
HUB 5-D,312,387,699,0,72,771
HUB 6-A,252,341,593,0,45,638
HUB 6-B,310,487,797,0,68,865
HUB 6-C,329,403,732,0,76,808
HUB 6-D,258,434,692,0,69,761
JAKTWP-A,168,689,857,1,101,959
JAKTWP-B,125,481,606,0,66,672
JEFTWP-A,429,413,842,0,97,939
JEFTWP-B,320,158,478,0,72,550
JEFTWP-C,241,409,650,0,44,694
JEFTWP-D,584,34,618,0,65,683
JNLB-A,107,327,434,0,45,479
JNLB-B,165,509,674,0,73,747
KT 1-A,344,265,609,0,48,657
KT 1-B,232,356,588,0,64,652
KT 1-C,342,462,804,0,70,874
KT 1-D,377,379,756,0,87,843
KT 1-E,273,349,622,0,60,682
KT 1-F,276,344,620,0,47,667
KT 1-G,302,353,655,0,54,709
KT 1-H,390,459,849,0,63,912
KT 1-I,340,386,726,0,57,783
KT 2-A,337,353,690,0,76,766
KT 2-B,321,365,686,0,53,739
KT 2-C,358,373,731,0,62,793
KT 2-D,386,413,799,0,74,873
KT 2-E,305,444,749,0,60,809
KT 2-F,273,337,610,0,54,664
KT 2-G,378,562,940,0,90,1030
KT 2-H,367,429,796,0,77,873
KT 2-I,287,336,623,0,37,660
KT 2-J,267,245,512,0,42,554
KT 3-A,382,359,741,0,87,828
KT 3-B,431,330,761,0,52,813
KT 3-C,300,434,734,0,58,792
KT 3-D,399,232,631,1,70,702
KT 3-E,383,405,788,1,57,846
KT 3-F,320,301,621,0,63,684
KT 3-G,298,347,645,0,34,679
KT 3-H,373,391,764,0,43,807
KT 3-I,280,359,639,0,49,688
KT 3-J,308,328,636,0,35,671
KT 3-K,433,445,878,0,68,946
KT 4-A,490,384,874,0,48,922
KT 4-B,551,308,859,0,80,939
KT 4-C,236,275,511,0,52,563
KT 4-D,398,361,759,0,55,814
KT 4-E,338,337,675,0,56,731
KT 4-F,378,327,705,0,65,770
KT 4-G,440,494,934,0,62,996
KT 4-H,297,322,619,0,60,679
KT 4-I,456,337,793,0,55,848
KT 4-J,426,287,713,1,52,766
KT 4-K,375,361,736,0,55,791
MBG 1-A,291,521,812,0,88,900
MBG 1-B,239,544,783,0,76,859
MBG 1-C,289,430,719,0,57,776
MBG 2-A,219,335,554,0,56,610
MBG 2-B,251,484,735,0,72,807
MBG 2-C,254,545,799,0,62,861
MBG 3-A,209,337,546,0,50,596
MBG 3-B,269,446,715,0,80,795
MBG 3-C,266,353,619,0,76,695
MBG 3-D,243,533,776,0,67,843
MBG 4-A,223,457,680,0,60,740
MBG 4-B,191,425,616,0,46,662
MBG 4-C,203,356,559,0,38,597
MBG 4-D,383,622,1005,0,95,1100
MIATWP-A,305,426,731,0,85,816
MIATWP-B,303,342,645,1,72,718
MIATWP-C,166,591,757,0,84,841
MIATWP-D,319,330,649,0,60,709
MIATWP-E,364,553,917,0,54,971
MIATWP-F,328,359,687,0,68,755
MIATWP-G,252,367,619,0,61,680
MIATWP-H,287,349,636,0,67,703
MIATWP-I,202,195,397,0,32,429
MIATWP-J,146,499,645,0,52,697
MIATWP-K,334,527,861,0,78,939
MIATWP-L,243,322,565,0,51,616
MIATWP-M,279,362,641,0,60,701
MIATWP-N,312,441,753,0,48,801
MIATWP-O,285,400,685,0,65,750
MIATWP-P,266,223,489,0,35,524
MIATWP-Q,378,372,750,0,46,796
MIATWP-R,191,194,385,0,43,428
MIATWP-S,223,462,685,0,66,751
MIATWP-T,229,351,580,0,45,625
MIATWP-U,274,284,558,0,45,603
MIATWP-V,238,419,657,0,80,737
MOR 1-A,140,277,417,0,47,464
MOR 2-A,284,477,761,0,73,834
MOR 3-A,156,316,472,0,55,527
MOR 4-A,196,222,418,0,49,467
MOR 4-B,225,116,341,0,43,384
OAK-A,481,307,788,1,44,833
OAK-B,451,336,787,0,40,827
OAK-C,422,219,641,0,40,681
OAK-D,411,233,644,0,40,684
OAK-E,466,207,673,0,29,702
OAK-F,576,261,837,0,32,869
OAK-G,418,295,713,0,41,754
OAK-H,315,258,573,0,37,610
PERTWP-A,88,453,541,0,57,598
PERTWP-B,133,459,592,0,61,653
PERTWP-C,138,545,683,0,85,768
PHBG,56,150,206,0,31,237
PM,246,251,497,0,30,527
PNLB,128,350,478,0,53,531
RV-A,240,387,627,0,43,670
RV-B,169,330,499,0,61,560
RV-C,310,344,654,0,54,708
RV-D,214,455,669,0,59,728
RV-E,162,394,556,2,62,620
RV-F,260,291,551,0,50,601
RV-G,178,318,496,0,43,539
RV-H,123,191,314,0,48,362
RV-I,171,312,483,0,43,526
RV-J,170,300,470,0,42,512
RV-K,305,347,652,0,39,691
RV-L,122,267,389,0,32,421
RV-M,273,386,659,0,57,716
RV-N,188,282,470,0,52,522
RV-O,266,386,652,0,65,717
RV-P,299,399,698,1,58,757
TR 1-A,490,181,671,0,63,734
TR 1-B,267,107,374,0,32,406
TR 1-C,433,25,458,0,77,535
TR 1-D,353,47,400,1,39,440
TR 1-E,612,51,663,0,68,731
TR 2-A,485,66,551,0,61,612
TR 2-B,558,80,638,0,71,709
TR 2-C,415,44,459,0,60,519
TR 2-D,267,116,383,0,48,431
TR 2-E,418,25,443,0,63,506
TR 3-A,294,133,427,0,45,472
TR 3-B,245,305,550,0,60,610
TR 3-C,255,159,414,0,56,470
TR 3-D,503,105,608,0,75,683
TR 4-A,546,61,607,0,63,670
TR 4-B,430,59,489,1,73,563
TR 4-C,348,63,411,0,38,449
TR 4-D,362,54,416,0,54,470
UN-A,133,298,431,0,48,479
UN-B,251,410,661,0,56,717
UN-C,244,489,733,0,65,798
UN-D,296,470,766,0,78,844
UN-E,246,509,755,2,70,827
VD-A,228,435,663,0,53,716
VD-B,138,283,421,0,24,445
VD-C,241,522,763,1,74,838
VD-D,282,409,691,0,50,741
VD-E,160,350,510,0,40,550
VD-F,301,482,783,0,67,850
VD-G,211,398,609,0,54,663
VD-H,258,586,844,0,61,905
VD-I,244,442,686,0,68,754
VD-J,302,595,897,0,55,952
VD-K,301,505,806,0,72,878
WASTWP-A,269,447,716,0,62,778
WASTWP-B,409,594,1003,0,83,1086
WASTWP-C,355,485,840,0,55,895
WASTWP-D,258,363,621,0,36,657
WASTWP-E,374,496,870,0,50,920
WASTWP-F,237,314,551,0,50,601
WASTWP-G,425,504,929,0,71,1000
WASTWP-H,308,439,747,0,62,809
WASTWP-I,333,296,629,0,44,673
WASTWP-J,368,421,789,0,79,868
WASTWP-K,309,465,774,1,44,819
WASTWP-L,346,325,671,0,57,728
WASTWP-M,341,518,859,0,78,937
WASTWP-N,405,367,772,0,72,844
WASTWP-O,382,429,811,0,70,881
WASTWP-P,381,548,929,0,61,990
WASTWP-Q,423,473,896,0,74,970
WASTWP-R,290,370,660,0,51,711
WASTWP-S,297,387,684,0,58,742
WASTWP-T,377,311,688,0,52,740
WASTWP-U,357,467,824,0,55,879
WASTWP-V,336,455,791,0,49,840
WASTWP-W,271,278,549,0,46,595
WASTWP-X,276,362,638,0,71,709
WASTWP-Y,485,540,1025,0,83,1108
WASTWP-Z,305,411,716,0,44,760
WASTWP-AA,327,423,750,0,78,828
WASTWP-BB,276,295,571,0,53,624
WASTWP-CC,397,538,935,0,93,1028
WCR-A,245,382,627,1,75,703
WCR-B,236,434,670,0,66,736
WCR-C,222,472,694,1,59,754
WCR-D,236,438,674,0,62,736
WCR-E,268,171,439,0,41,480
WCR-F,242,271,513,0,58,571
WCR-G,318,360,678,1,76,755
WCR-H,209,432,641,0,76,717
WCR-I,301,170,471,0,48,519
