Precinct,Amy Cox (DEM),Michael Harbaugh (NPC),Mike Turner (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
WASTWP-T,328,26,358,712,0,28,740
WASTWP-U,283,22,546,851,0,28,879
WASTWP-V,272,38,493,803,1,36,840
WASTWP-W,250,13,303,566,0,29,595
WASTWP-X,247,21,421,689,0,20,709
WASTWP-Y,409,19,645,1073,0,35,1108
WASTWP-Z,269,16,449,734,0,26,760
WASTWP-AA,290,14,482,786,0,42,828
WASTWP-BB,214,25,350,589,0,35,624
WASTWP-CC,362,18,607,987,0,41,1028
WCR-A,214,24,419,657,0,46,703
WCR-B,212,21,464,697,0,39,736
WCR-C,186,19,523,728,0,26,754
WCR-D,203,24,488,715,0,21,736
WCR-E,239,26,202,467,0,13,480
WCR-F,216,22,310,548,0,23,571
WCR-G,289,20,417,726,0,29,755
WCR-H,174,26,475,675,0,42,717
WCR-I,288,19,197,504,0,15,519
