Precinct,Joseph T. Deters (REP),Melody J. Stewart (DEM),Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 3-D,104,531,635,0,48,683
TR 4-A,49,585,634,0,36,670
TR 4-B,68,451,519,1,43,563
TR 4-C,69,357,426,0,23,449
TR 4-D,50,383,433,1,36,470
UN-A,303,148,451,0,28,479
UN-B,415,261,676,0,41,717
UN-C,505,251,756,0,42,798
UN-D,495,305,800,0,44,844
UN-E,528,245,773,0,54,827
VD-A,429,242,671,0,45,716
VD-B,286,141,427,0,18,445
VD-C,530,249,779,0,59,838
VD-D,407,299,706,0,35,741
VD-E,345,170,515,0,35,550
VD-F,499,308,807,0,43,850
VD-G,407,218,625,0,38,663
VD-H,592,276,868,0,37,905
VD-I,464,240,704,0,50,754
VD-J,608,293,901,0,51,952
VD-K,521,305,826,0,52,878
WASTWP-A,449,287,736,0,42,778
WASTWP-B,593,429,1022,0,64,1086
WASTWP-C,470,379,849,0,46,895
WASTWP-D,368,263,631,0,26,657
WASTWP-E,490,394,884,0,36,920
WASTWP-F,328,233,561,0,40,601
WASTWP-G,507,436,943,0,57,1000
WASTWP-H,448,317,765,0,44,809
WASTWP-I,305,340,645,1,27,673
WASTWP-J,432,380,812,0,56,868
WASTWP-K,467,323,790,0,29,819
WASTWP-L,327,346,673,2,53,728
WASTWP-M,529,359,888,0,49,937
WASTWP-N,378,425,803,0,41,844
WASTWP-O,433,391,824,0,57,881
WASTWP-P,539,394,933,0,57,990
WASTWP-Q,470,444,914,0,56,970
WASTWP-R,384,293,677,0,34,711
WASTWP-S,393,305,698,0,44,742
WASTWP-T,323,374,697,0,43,740
WASTWP-U,471,362,833,0,46,879
WASTWP-V,453,339,792,0,48,840
WASTWP-W,275,286,561,0,34,595
WASTWP-X,377,289,666,0,43,709
WASTWP-Y,542,499,1041,0,67,1108
WASTWP-Z,410,319,729,0,31,760
WASTWP-AA,421,347,768,0,60,828
WASTWP-BB,298,279,577,0,47,624
WASTWP-CC,531,429,960,1,67,1028
WCR-A,396,253,649,0,54,703
WCR-B,433,242,675,0,61,736
WCR-C,477,234,711,0,43,754
WCR-D,439,251,690,0,46,736
WCR-E,185,281,466,0,14,480
WCR-F,270,260,530,0,41,571
WCR-G,372,335,707,0,48,755
WCR-H,437,227,664,0,53,717
WCR-I,180,319,499,0,20,519
