Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,246,615,861,0,62,923
BRK-B,208,459,667,0,31,698
BRK-C,276,583,859,1,49,909
BRK-D,221,517,738,1,45,784
