Precinct,For the Income Tax,Against the Income Tax,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-A,274,326,600,0,8,608
CTN 1-B,342,329,671,0,22,693
CTN 1-C,445,462,907,1,29,937
CTN 1-D,327,248,575,0,23,598
CTN 2-A,366,262,628,0,27,655
CTN 2-B,506,334,840,0,17,857
CTN 2-C,492,368,860,0,36,896
CTN 3-A,453,386,839,0,22,861
CTN 3-B,413,386,799,0,28,827
CTN 3-C,369,340,709,0,28,737
