Precinct,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Blank,Voter Turnout - Total
WASTWP-G,"1,207","1,000",4,82.85%
WASTWP-H,944,809,1,85.70%
WASTWP-I,932,673,3,72.21%
WASTWP-J,"1,201",868,4,72.27%
WASTWP-K,"1,018",819,0,80.45%
WASTWP-L,"1,012",728,4,71.94%
WASTWP-M,"1,115",937,4,84.04%
WASTWP-N,"1,128",844,2,74.82%
WASTWP-O,"1,152",881,3,76.48%
WASTWP-P,"1,220",990,3,81.15%
WASTWP-Q,"1,354",970,4,71.64%
WASTWP-R,877,711,1,81.07%
WASTWP-S,895,742,2,82.91%
WASTWP-T,"1,004",740,2,73.71%
WASTWP-U,"1,044",879,2,84.20%
WASTWP-V,"1,003",840,1,83.75%
WASTWP-W,825,595,2,72.12%
WASTWP-X,867,709,2,81.78%
WASTWP-Y,"1,376","1,108",8,80.52%
WASTWP-Z,892,760,0,85.20%
WASTWP-AA,989,828,1,83.72%
WASTWP-BB,793,624,1,78.69%
WASTWP-CC,"1,226","1,028",7,83.85%
WCR-A,"1,047",703,6,67.14%
WCR-B,"1,000",736,1,73.60%
WCR-C,"1,007",754,3,74.88%
WCR-D,913,736,1,80.61%
WCR-E,851,480,1,56.40%
WCR-F,909,571,3,62.82%
WCR-G,978,755,1,77.20%
WCR-H,996,717,7,71.99%
WCR-I,973,519,5,53.34%
