Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 14-A,9,3,12,0,0,12
DAY 14-C,0,2,2,0,0,2
JEFTWP-A,243,651,894,0,44,938
JEFTWP-B,290,231,521,0,30,551
JEFTWP-C,141,533,674,0,18,692
JEFTWP-D,414,239,653,0,28,681
