Precinct,Robert Hanseman (REP),Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 4-C,534,534,0,303,837
HUB 4-D,493,493,0,303,796
HUB 5-A,502,502,0,242,744
HUB 5-B,480,480,0,266,746
HUB 5-C,492,492,0,257,749
HUB 5-D,520,520,0,251,771
HUB 6-A,404,404,0,234,638
HUB 6-B,590,590,0,275,865
HUB 6-C,519,519,0,289,808
HUB 6-D,545,545,0,216,761
JAKTWP-A,726,726,0,233,959
JAKTWP-B,532,532,0,140,672
JEFTWP-A,508,508,0,431,939
JEFTWP-B,261,261,0,289,550
JEFTWP-C,450,450,0,244,694
JEFTWP-D,186,186,0,497,683
JNLB-A,351,351,0,128,479
JNLB-B,562,562,0,185,747
KT 1-A,383,383,0,274,657
KT 1-B,457,457,0,195,652
KT 1-C,580,580,0,294,874
KT 1-D,542,542,0,301,843
KT 1-E,432,432,0,250,682
KT 1-F,430,430,0,237,667
KT 1-G,453,453,0,256,709
KT 1-H,581,581,0,331,912
KT 1-I,520,520,0,263,783
KT 2-A,475,475,0,291,766
KT 2-B,478,478,0,261,739
KT 2-C,498,498,0,295,793
KT 2-D,531,531,0,342,873
KT 2-E,566,566,0,243,809
KT 2-F,447,447,0,217,664
KT 2-G,681,681,0,349,1030
KT 2-H,540,540,0,333,873
KT 2-I,434,434,0,226,660
KT 2-J,340,340,0,214,554
KT 3-A,497,497,0,331,828
KT 3-B,457,457,0,356,813
KT 3-C,523,523,0,269,792
KT 3-D,398,398,0,304,702
KT 3-E,527,527,0,319,846
KT 3-F,397,397,0,287,684
KT 3-G,470,470,0,209,679
KT 3-H,498,498,0,309,807
KT 3-I,451,451,0,237,688
KT 3-J,405,405,0,266,671
KT 3-K,609,609,0,337,946
KT 4-A,502,502,0,420,922
KT 4-B,458,458,0,481,939
KT 4-C,358,358,0,205,563
KT 4-D,492,492,0,322,814
KT 4-E,426,426,0,305,731
KT 4-F,438,438,0,332,770
KT 4-G,624,624,0,372,996
KT 4-H,442,442,0,237,679
KT 4-I,481,481,0,367,848
KT 4-J,435,435,0,331,766
KT 4-K,469,469,0,322,791
MBG 1-A,589,589,0,311,900
MBG 1-B,617,617,0,242,859
MBG 1-C,532,532,0,244,776
MBG 2-A,401,401,0,209,610
MBG 2-B,583,583,0,224,807
MBG 2-C,626,626,0,235,861
MBG 3-A,425,425,0,171,596
MBG 3-B,513,513,0,282,795
MBG 3-C,456,456,0,239,695
MBG 3-D,604,604,0,239,843
MBG 4-A,527,527,0,213,740
MBG 4-B,479,479,0,183,662
MBG 4-C,422,422,0,175,597
MBG 4-D,778,778,0,322,1100
MIATWP-A,537,537,0,279,816
MIATWP-B,426,426,0,292,718
