Precinct,For the Tax,Against the Tax,Total Votes Cast,Overvotes,Undervotes,Contest Total
JAKTWP-A,205,323,528,0,19,547
JEFTWP-A,24,56,80,0,2,82
JNLB-A,196,259,455,0,24,479
JNLB-B,313,403,716,0,32,748
PERTWP-A,40,49,89,0,4,93
PERTWP-B,21,34,55,0,5,60
PERTWP-C,306,439,745,1,22,768
PNLB,230,281,511,0,20,531
TR 3-B,62,80,142,0,6,148
