Precinct,For Adoption of a Limited Home Rule Government,Against Adoption of a Limited Home Rule Government,Total Votes Cast,Overvotes,Undervotes,Contest Total
BTLTWP-A,327,428,755,0,73,828
BTLTWP-B,260,398,658,0,70,728
BTLTWP-C,401,445,846,0,79,925
BTLTWP-D,397,377,774,1,86,861
BTLTWP-E,317,233,550,0,46,596
BTLTWP-F,321,292,613,0,74,687
BTLTWP-G,241,209,450,1,69,520
UN-C,1,4,5,0,0,5
