Precinct,For the Tax Levy,Against the Tax Levy,Total Votes Cast,Overvotes,Undervotes,Contest Total
GERTWP-A,305,618,923,0,54,977
GERTWP-B,314,592,906,0,46,952
GTN-A,339,410,749,0,49,798
GTN-B,290,398,688,1,56,745
GTN-C,339,378,717,0,51,768
GTN-D,281,484,765,0,66,831
