Precinct,Fred Anness,Nona Cress,Jiles Farley,John Lazares,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A2,0,0,0,0,0,0,0,0
MIATWP-J1,82,62,80,93,317,0,364,681
MIATWP-J2,19,19,17,22,77,0,121,198
