Precinct,Molly Stitsinger,Total Votes Cast,Overvotes,Undervotes,Contest Total
OAK-A,288,288,0,87,375
OAK-B,329,329,0,105,434
OAK-C,247,247,0,104,351
OAK-D,229,229,0,123,352
OAK-E,252,252,0,115,367
OAK-F,338,338,0,144,482
OAK-G,284,284,0,101,385
OAK-H,236,236,0,78,314
