Precinct,Clint Baughman,Adam Brown,Bill Hapner,Total Votes Cast,Overvotes,Undervotes,Contest Total
CLATWP-C2,20,20,24,64,0,46,110
CLATWP-C4,3,5,4,12,0,8,20
