Precinct,Rodney C Stark,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A1,212,212,0,104,316
BRK-A2,2,2,0,1,3
BRK-B,145,145,0,62,207
BRK-C,181,181,0,109,290
BRK-D1,139,139,0,77,216
BRK-D2,3,3,0,0,3
CLATWP-B1,90,90,0,85,175
CLATWP-C1,93,93,0,70,163
CTN 1-B2,0,0,0,0,0
PERTWP-A1,91,91,0,82,173
PERTWP-B1,136,136,0,99,235
TR 1-A2,7,7,0,4,11
