Precinct,Albert Acker,Blaine Heeter,Johnston Hayes,Robin L. Lewis,Jessica Miller,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-D1,96,88,33,33,63,313,2,117,432
BRK-D2,3,1,2,0,0,6,0,0,6
PERTWP-A1,68,101,45,25,35,274,0,72,346
PERTWP-A2,11,33,21,10,9,84,0,14,98
PERTWP-B1,122,132,62,44,50,410,0,60,470
PERTWP-B2,3,8,6,6,3,26,0,12,38
PERTWP-C,130,106,50,78,59,423,0,107,530
PNLB1,35,25,26,31,46,163,0,81,244
PNLB2,0,0,0,0,0,0,0,0,0
