Precinct,Ora F. Allen,Branden Delph,Total Votes Cast,Overvotes,Undervotes,Contest Total
MOR 1-A1,20,13,33,0,35,68
MOR 1-A2,16,12,28,0,30,58
MOR 2-A1,94,94,188,0,138,326
MOR 2-A2,28,30,58,0,78,136
MOR 3-A1,78,58,136,0,106,242
MOR 3-A2,0,0,0,0,0,0
MOR 4-A,51,43,94,0,58,152
MOR 4-B,28,19,47,0,45,92
