Precinct,Nicole Adkins,Theresa Cooper,Keith Moody,Amanda Price,Thomas Wilder,Total Votes Cast,Overvotes,Undervotes,Contest Total
JNLB-A1,57,55,70,68,90,340,0,140,480
JNLB-A2,0,0,0,0,1,1,0,2,3
JNLB-B,94,116,120,94,124,548,0,175,723
PNLB1,53,47,46,55,56,257,0,109,366
PNLB2,0,0,0,0,0,0,0,0,0
