Precinct,FOR THE INCOME TAX,AGAINST THE INCOME TAX,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 14-A2,56,30,86,0,1,87
DAY 14-A3,4,4,8,0,0,8
DAY 14-C2,10,8,18,0,5,23
DAY 14-C3,0,0,0,0,0,0
JEFTWP-A1,115,241,356,0,4,360
JEFTWP-B2,27,27,54,0,0,54
JEFTWP-B4,28,17,45,0,0,45
JEFTWP-C1,73,273,346,0,3,349
JEFTWP-D,178,97,275,0,4,279
MOR 2-A2,13,55,68,0,0,68
WCR-A2,3,6,9,0,0,9
