Precinct,REP Rick Melton,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 3-A,119,119,0,53,172
MBG 3-B,186,186,0,108,294
MBG 3-C,128,128,0,101,229
MBG 3-D,175,175,0,101,276
