Precinct,Margie Glock,Nicole Lowe,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-B1,43,35,78,0,70,148
DAY 3-D,82,96,178,0,152,330
DAY 3-F2,1,2,3,0,1,4
DAY 3-G2,30,34,64,0,46,110
DAY 3-G4,0,0,0,0,0,0
HARTWP-A,53,70,123,0,73,196
HARTWP-B,86,95,181,0,93,274
HARTWP-C,63,66,129,0,69,198
HARTWP-E,42,36,78,0,52,130
HARTWP-N,67,78,145,0,99,244
