Precinct,Terry Johnson,Total Votes Cast,Overvotes,Undervotes,Contest Total
GTN-A,217,217,0,83,300
GTN-B,110,110,0,37,147
GTN-C1,193,193,0,91,284
GTN-C2,0,0,0,0,0
GTN-D1,172,172,0,64,236
GTN-D2,0,0,0,0,0
