Precinct,Isaac Morton,Jim Rowland,Jake Stubbs,Total Votes Cast,Overvotes,Undervotes,Contest Total
GERTWP-A1,117,98,180,395,2,139,536
GERTWP-A2,16,15,15,46,0,28,74
GERTWP-A3,24,22,29,75,0,31,106
GERTWP-B1,118,158,192,468,0,180,648
GERTWP-B2,10,1,3,14,0,10,24
GTN-A,92,151,184,427,0,173,600
GTN-B,51,61,85,197,0,97,294
GTN-C1,100,137,162,399,0,169,568
GTN-C2,0,0,0,0,0,0,0
GTN-D1,71,106,137,314,0,158,472
GTN-D2,0,0,0,0,0,0,0
