Precinct,Martha H. Clark,Tommy J. McGuffey Jr.,Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 2-A,87,118,205,0,1,206
TR 2-B,93,89,182,0,6,188
TR 2-C1,73,62,135,0,4,139
TR 2-C2,17,21,38,0,2,40
TR 2-D1,56,28,84,0,6,90
TR 2-D2,31,20,51,0,2,53
TR 2-E,130,87,217,0,5,222
