Precinct,Dawn Leonard,Jeff Miller,Elizabeth Powers,Total Votes Cast,Overvotes,Undervotes,Contest Total
JAKTWP-A1,126,135,119,380,0,214,594
JEFTWP-A2,18,29,17,64,0,56,120
JNLB-A1,111,98,92,301,0,179,480
JNLB-A2,0,1,0,1,0,2,3
JNLB-B,151,157,148,456,0,267,723
PERTWP-A2,29,31,28,88,0,59,147
PERTWP-B2,10,10,7,27,0,30,57
PERTWP-C,151,168,149,468,0,327,795
PNLB1,80,87,73,240,0,126,366
PNLB2,0,0,0,0,0,0,0
TR 3-B2,18,17,17,52,0,20,72
