Precinct,Milton J. Pearson,Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 3-A,93,93,0,32,123
TR 3-B1,87,87,0,33,120
TR 3-B2,21,21,0,3,24
TR 3-C1,60,60,0,20,80
TR 3-C2,22,22,0,9,31
TR 3-D,161,161,0,53,214
