Precinct,YES,NO,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-A1,130,192,322,0,48,370
CTN 1-A2,0,2,2,0,0,2
CTN 1-B1,35,29,64,0,5,69
CTN 1-B2,0,0,0,0,0,0
CTN 1-B3,151,120,271,0,40,311
CTN 1-C1,212,176,388,0,54,442
CTN 1-C2,11,8,19,0,2,21
CTN 1-D1,125,84,209,0,30,239
CTN 1-D2,10,13,23,0,1,24
CTN 2-A,106,104,210,0,31,241
CTN 2-B,182,133,315,0,32,347
CTN 2-C1,181,132,313,0,37,350
CTN 2-C2,17,17,34,0,5,39
CTN 3-A,188,162,350,0,50,400
CTN 3-B,179,130,309,0,47,356
CTN 3-C,136,107,243,0,29,272
