Precinct,Jamie Evans,Amy Hoover,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-D1,60,114,174,0,42,216
BRK-D2,2,1,3,0,0,3
PERTWP-A1,63,80,143,0,30,173
PERTWP-A2,19,23,42,0,7,49
PERTWP-B1,96,106,202,0,33,235
PERTWP-B2,12,4,16,0,3,19
PERTWP-C,125,89,214,0,51,265
PNLB1,42,44,86,0,36,122
PNLB2,0,0,0,0,0,0
