Precinct,Michael T. Kuhn,Rick Matheson,Rob Rettich,J. Brian Wafzig,Curtis Woodbury,Total Votes Cast,Overvotes,Undervotes,Contest Total
GTN-A,157,96,171,163,88,675,0,225,900
GTN-B,81,43,80,74,35,313,0,128,441
GTN-C1,175,96,154,166,55,646,0,206,852
GTN-C2,0,0,0,0,0,0,0,0,0
GTN-D1,126,71,144,120,54,515,0,193,708
GTN-D2,0,0,0,0,0,0,0,0,0
