Precinct,Katie Mlod,Tim Steininger,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-J2,97,80,177,0,141,318
DAY 3-K2,17,22,39,0,35,74
RV-K1,149,125,274,0,222,496
