Precinct,Sarah Bourne,Lauren Kawai,Laura Middleton,John R. Wilson,Total Votes Cast,Overvotes,Undervotes,Contest Total
OAK-A,140,238,251,240,869,3,253,1125
OAK-B,168,281,314,265,1028,0,274,1302
OAK-C,147,231,244,219,841,0,212,1053
OAK-D,112,231,227,202,772,0,284,1056
OAK-E,134,252,263,241,890,0,211,1101
OAK-F,164,325,361,305,1155,0,291,1446
OAK-G,152,243,270,242,907,0,248,1155
OAK-H,127,194,206,195,722,0,220,942
