Precinct,REP Jason Shade,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A1,196,196,0,123,319
MBG 1-A2,0,0,0,0,0
MBG 1-A3,1,1,0,0,1
MBG 1-B1,189,189,0,70,259
MBG 1-B2,0,0,0,0,0
MBG 1-C,213,213,0,106,319
