Precinct,Tyler R. Brown,Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 4-A,205,205,0,37,242
TR 4-B,147,147,0,20,167
TR 4-C,77,77,0,18,95
TR 4-D1,35,35,0,10,45
TR 4-D2,128,128,0,13,141
