Precinct,William Bicknell,Craig Harris,Mollie McIntosh,Amanda Morris,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A2,0,0,0,0,0,0,0,0
MIATWP-J1,71,149,145,115,480,0,201,681
MIATWP-J2,19,43,41,38,141,0,57,198
