Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 14-A3,5,3,8,0,0,8
DAY 14-C3,0,0,0,0,0,0
JEFTWP-A1,111,247,358,0,2,360
JEFTWP-A2,5,35,40,0,0,40
JEFTWP-A3,4,4,8,0,0,8
JEFTWP-B1,37,20,57,0,1,58
JEFTWP-B2,24,29,53,0,1,54
JEFTWP-B3,4,7,11,0,0,11
JEFTWP-B4,24,20,44,0,1,45
JEFTWP-C1,74,272,346,0,3,349
JEFTWP-C2,0,0,0,0,0,0
JEFTWP-D,166,102,268,0,11,279
