Precinct,Ken Betz,Bryson Jackson,Mike Thein,Total Votes Cast,Overvotes,Undervotes,Contest Total
BTLTWP-A,146,147,171,464,0,150,614
BTLTWP-B,130,164,187,481,0,131,612
BTLTWP-C,182,219,243,644,0,148,792
BTLTWP-D,164,165,193,522,0,174,696
BTLTWP-E,126,144,155,425,0,77,502
BTLTWP-F,139,165,179,483,0,117,600
BTLTWP-G,69,91,99,259,0,69,328
UN-C3,1,1,0,2,0,0,2
