Precinct,REP Jeff Thompson,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 4-A,178,178,0,91,269
MBG 4-B,191,191,0,76,267
MBG 4-C,151,151,0,73,224
MBG 4-D,260,260,0,147,407
