Precinct,Kate Baker,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 3-A,145,145,0,59,204
HUB 3-B,79,79,0,42,121
HUB 3-C,120,120,0,54,174
HUB 3-D,153,153,0,75,228
HUB 3-E,92,92,0,66,158
