Precinct,Joy Eyler,Judy Hoover,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A1,180,223,403,0,229,632
BRK-A2,0,1,1,0,5,6
BRK-B,110,148,258,0,156,414
BRK-C,173,184,357,0,223,580
BRK-D1,124,135,259,0,173,432
BRK-D2,0,1,1,0,5,6
CLATWP-B1,88,101,189,0,161,350
CLATWP-C1,87,108,195,0,131,326
CTN 1-B2,0,0,0,0,0,0
PERTWP-A1,83,94,177,0,169,346
PERTWP-B1,110,139,249,0,221,470
TR 1-A2,4,7,11,0,11,22
