Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Overvotes,Undervotes,Contest Total
GERTWP-A1,72,191,263,0,5,268
GERTWP-A2,17,18,35,0,2,37
GERTWP-A3,16,36,52,0,1,53
GERTWP-B1,87,233,320,0,4,324
GERTWP-B2,5,7,12,0,0,12
GTN-A,128,165,293,0,7,300
GTN-B,58,87,145,0,2,147
GTN-C1,141,139,280,0,4,284
GTN-C2,0,0,0,0,0,0
GTN-D1,79,150,229,0,7,236
GTN-D2,0,0,0,0,0,0
