Precinct,Registered Voters - Total,Ballots Cast - Total,Ballots Cast - Blank,Voter Turnout - Total
BRK-A1,1196,316,0,0.2642
BRK-A2,4,3,0,0.75
BRK-B,962,207,0,0.2152
BRK-C,1114,290,0,0.2603
BRK-D1,972,216,0,0.2222
BRK-D2,11,3,0,0.2727
BTLTWP-A,971,307,0,0.3162
BTLTWP-B,944,306,0,0.3242
BTLTWP-C,1089,396,0,0.3636
BTLTWP-D,1003,348,1,0.347
BTLTWP-E,675,251,0,0.3719
BTLTWP-F,797,300,0,0.3764
BTLTWP-G,760,164,0,0.2158
CLATWP-A,693,228,0,0.329
CLATWP-B1,656,175,0,0.2668
CLATWP-B2,102,18,0,0.1765
CLATWP-C1,594,163,0,0.2744
CLATWP-C2,272,55,0,0.2022
CLATWP-C3,258,91,0,0.3527
CLATWP-C4,38,10,0,0.2632
CTN 1-A1,711,370,0,0.5204
CTN 1-A2,4,2,0,0.5
CTN 1-B1,134,69,0,0.5149
CTN 1-B2,1,0,0,0
CTN 1-B3,803,311,0,0.3873
CTN 1-C1,1129,442,0,0.3915
CTN 1-C2,30,21,0,0.7
CTN 1-D1,646,239,0,0.37
CTN 1-D2,106,24,0,0.2264
CTN 2-A,804,241,1,0.2998
CTN 2-B,1106,347,0,0.3137
CTN 2-C1,979,350,1,0.3575
CTN 2-C2,152,39,0,0.2566
CTN 3-A,1035,400,0,0.3865
CTN 3-B,1067,356,0,0.3336
CTN 3-C,1080,272,0,0.2519
CV-A,1046,86,0,0.0822
CV-B,1037,249,0,0.2401
CV-C,661,143,0,0.2163
CV-D,926,119,0,0.1285
CV-E,977,252,1,0.2579
CV-F,1094,272,0,0.2486
CV-G,1219,305,1,0.2502
CV-H,1164,406,0,0.3488
CV-I1,1243,328,0,0.2639
CV-I2,0,0,0,0
CV-J,1033,248,0,0.2401
CV-K,1104,288,0,0.2609
CV-L,1199,333,1,0.2777
CV-M,1031,245,0,0.2376
CV-N,1017,247,0,0.2429
CV-O,1337,319,0,0.2386
CV-P,1197,298,0,0.249
CV-Q,1149,243,1,0.2115
CV-R,1107,180,0,0.1626
DAY 1-A,578,98,0,0.1696
DAY 1-B,1061,328,0,0.3091
DAY 1-C1,854,113,0,0.1323
DAY 1-C2,230,69,0,0.3
DAY 1-D,749,147,0,0.1963
DAY 1-E,880,302,0,0.3432
DAY 2-A,845,87,0,0.103
DAY 2-B,753,236,0,0.3134
DAY 2-C1,931,127,0,0.1364
DAY 2-C2,0,0,0,0
DAY 2-D1,836,75,0,0.0897
DAY 2-D2,2,0,0,0
DAY 3-A,561,50,0,0.0891
DAY 3-B1,323,74,0,0.2291
DAY 3-B2,250,34,0,0.136
DAY 3-B3,1,0,0,0
DAY 3-C1,860,273,0,0.3174
DAY 3-C2,272,74,0,0.2721
DAY 3-D,832,165,0,0.1983
DAY 3-E,559,82,0,0.1467
DAY 3-F1,955,333,0,0.3487
DAY 3-F2,17,2,0,0.1176
DAY 3-G1,445,37,0,0.0831
DAY 3-G2,413,55,0,0.1332
DAY 3-G3,2,0,0,0
DAY 3-G4,0,0,0,0
DAY 3-H,906,114,0,0.1258
DAY 3-I,1141,310,0,0.2717
DAY 3-J1,421,31,0,0.0736
DAY 3-J2,650,159,0,0.2446
DAY 3-J3,67,13,0,0.194
DAY 3-K1,1062,286,0,0.2693
DAY 3-K2,143,37,0,0.2587
DAY 3-L,1055,276,0,0.2616
DAY 4-A,889,209,0,0.2351
DAY 4-B,855,146,0,0.1708
DAY 4-C,827,195,0,0.2358
DAY 5-A,736,174,0,0.2364
DAY 5-B,724,170,0,0.2348
DAY 5-C,617,108,0,0.175
DAY 5-D,913,191,0,0.2092
DAY 6-A1,831,173,0,0.2082
DAY 6-A2,3,1,0,0.3333
DAY 6-B,877,174,0,0.1984
DAY 6-C,828,155,0,0.1872
DAY 7-A,742,136,0,0.1833
DAY 7-B,482,161,0,0.334
DAY 8-A,1024,246,1,0.2402
DAY 8-B,1041,225,1,0.2161
DAY 8-C,1047,235,0,0.2245
DAY 8-D,1092,204,0,0.1868
DAY 9-A,1056,393,0,0.3722
DAY 9-B,1088,294,0,0.2702
DAY 9-C,1120,317,0,0.283
DAY 9-D,1007,173,0,0.1718
DAY 10-A,835,215,1,0.2575
DAY 10-B,684,143,0,0.2091
DAY 10-C,688,166,0,0.2413
DAY 10-D,846,185,0,0.2187
DAY 10-E,770,186,0,0.2416
DAY 11-A,595,144,0,0.242
DAY 11-B,889,104,1,0.117
DAY 11-C1,787,115,0,0.1461
DAY 11-C2,27,11,0,0.4074
DAY 11-D,970,162,0,0.167
DAY 11-E,750,146,0,0.1947
DAY 12-A,1022,213,0,0.2084
DAY 12-B,721,201,0,0.2788
DAY 12-C,950,148,0,0.1558
DAY 12-D,855,85,0,0.0994
DAY 13-A,699,151,0,0.216
DAY 13-B,674,63,0,0.0935
DAY 14-A1,554,140,0,0.2527
DAY 14-A2,237,87,0,0.3671
DAY 14-A3,16,8,0,0.5
DAY 14-B,499,62,0,0.1242
DAY 14-C1,639,102,0,0.1596
DAY 14-C2,173,23,0,0.1329
DAY 14-C3,3,0,0,0
DAY 14-D,1077,186,0,0.1727
DAY 15-A,829,179,0,0.2159
DAY 15-B,996,202,0,0.2028
DAY 15-C,665,123,0,0.185
DAY 15-D1,478,90,0,0.1883
DAY 15-D2,266,85,0,0.3195
DAY 16-A,792,177,0,0.2235
DAY 16-B,677,120,0,0.1773
DAY 16-C1,771,144,0,0.1868
DAY 16-C2,0,0,0,0
DAY 16-D,1117,332,0,0.2972
DAY 16-E,725,200,0,0.2759
DAY 17-A,655,112,0,0.171
DAY 17-B,1011,122,0,0.1207
DAY 17-C,1025,174,0,0.1698
DAY 17-D,724,123,0,0.1699
DAY 18-A,635,142,0,0.2236
DAY 18-B1,835,265,0,0.3174
DAY 18-B2,7,3,0,0.4286
DAY 18-C,864,112,0,0.1296
DAY 18-D,823,125,0,0.1519
DAY 19-A,514,66,0,0.1284
DAY 19-B,992,154,0,0.1552
DAY 19-C,705,163,0,0.2312
DAY 20-A,1091,252,0,0.231
DAY 20-B,1182,253,0,0.214
DAY 20-C,839,187,0,0.2229
DAY 20-D,767,150,0,0.1956
DAY 21-A,807,135,0,0.1673
DAY 21-B,920,118,0,0.1283
DAY 21-C,887,235,0,0.2649
DAY 22-A,1222,363,0,0.2971
DAY 22-B,796,274,0,0.3442
DAY 22-C,1318,368,0,0.2792
DAY 23-A,790,251,0,0.3177
ENG-A,993,328,0,0.3303
ENG-B,980,259,0,0.2643
ENG-C,996,211,0,0.2118
ENG-D,1176,256,0,0.2177
ENG-E,1062,295,0,0.2778
ENG-F,865,242,0,0.2798
