Precinct,Bettye L. Gales,Robert L Kelley Jr.,Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 1-A1,114,120,234,0,16,250
TR 1-A2,3,8,11,0,0,11
TR 1-B1,82,63,145,0,4,149
TR 1-B2,16,4,20,0,2,22
TR 1-C,89,143,232,0,4,236
TR 1-D,68,69,137,0,3,140
TR 1-E,137,142,279,0,3,282
