Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Overvotes,Undervotes,Contest Total
GERTWP-A1,125,138,263,0,5,268
GERTWP-A2,17,17,34,0,3,37
GERTWP-A3,25,28,53,0,0,53
GERTWP-B1,158,166,324,0,0,324
GERTWP-B2,8,4,12,0,0,12
GTN-A,188,106,294,0,6,300
GTN-B,75,71,146,0,1,147
GTN-C1,184,97,281,0,3,284
GTN-C2,0,0,0,0,0,0
GTN-D1,111,125,236,0,0,236
GTN-D2,0,0,0,0,0,0
