Precinct,Bob Cowden,Randall DeVilbiss,Jim Erisman,Ryan L. Hodson,Matt Thaxton,Total Votes Cast,Overvotes,Undervotes,Contest Total
FARM,37,51,135,139,64,426,0,30,456
JAKTWP-A1,27,48,92,95,61,323,0,73,396
JAKTWP-A2,27,66,88,112,27,320,0,38,358
JAKTWP-B1,31,102,151,186,52,522,0,50,572
JAKTWP-B2,0,0,0,0,0,0,0,0,0
JNLB-A1,10,43,71,35,63,222,0,98,320
JNLB-A2,0,0,0,1,0,1,0,1,2
JNLB-B,28,61,94,67,96,346,0,136,482
