Precinct,FOR THE RESOLUTION,AGAINST THE RESOLUTION,Total Votes Cast,Overvotes,Undervotes,Contest Total
BTLTWP-A,102,194,296,0,11,307
BTLTWP-B,98,202,300,0,6,306
BTLTWP-C,177,208,385,0,11,396
BTLTWP-D,135,205,340,0,8,348
BTLTWP-E,119,122,241,0,10,251
BTLTWP-F,150,139,289,0,11,300
BTLTWP-G,68,90,158,0,6,164
UN-C3,0,1,1,0,0,1
