Precinct,FOR THE INCOME TAX,AGAINST THE INCOME TAX,Total Votes Cast,Overvotes,Undervotes,Contest Total
UN-A,52,112,164,0,1,165
UN-B,89,194,283,0,5,288
UN-C1,78,137,215,0,6,221
UN-C2,21,68,89,0,2,91
UN-C3,0,1,1,0,0,1
UN-D,126,233,359,0,2,361
UN-E,77,190,267,0,1,268
