Precinct,Nathan Boone,Claire L. Chinske,Carl Fischer IV,Krista Hunt,JoAnn Rigano,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 1-E2,42,34,32,31,34,173,0,67,240
RV-D,117,64,79,115,96,471,0,294,765
