Precinct,YES,NO,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-A1,152,171,323,0,47,370
CTN 1-A2,0,1,1,0,1,2
CTN 1-B1,38,27,65,0,4,69
CTN 1-B2,0,0,0,0,0,0
CTN 1-B3,154,119,273,0,38,311
CTN 1-C1,216,172,388,0,54,442
CTN 1-C2,12,6,18,0,3,21
CTN 1-D1,123,85,208,0,31,239
CTN 1-D2,12,11,23,0,1,24
CTN 2-A,111,97,208,0,33,241
CTN 2-B,190,127,317,0,30,347
CTN 2-C1,174,140,314,0,36,350
CTN 2-C2,16,16,32,0,7,39
CTN 3-A,197,162,359,0,41,400
CTN 3-B,182,129,311,0,45,356
CTN 3-C,116,125,241,0,31,272
