Precinct,Patricia Williams Babetto,Michelle Cooper,No Valid Petition Filed,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 14-A2,51,62,0,113,0,148,261
DAY 14-A3,4,3,0,7,0,17,24
DAY 14-C2,7,11,0,18,0,51,69
DAY 14-C3,0,0,0,0,0,0,0
JEFTWP-A1,147,212,0,359,0,721,1080
JEFTWP-B2,29,43,0,72,0,90,162
JEFTWP-B4,23,27,0,50,0,85,135
JEFTWP-C1,118,180,0,298,0,749,1047
JEFTWP-D,137,214,0,351,0,486,837
MOR 2-A2,16,37,0,53,0,151,204
WCR-A2,1,2,0,3,0,24,27
