Precinct,Mark Campbell,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 5-A,120,120,0,62,182
HUB 5-B1,136,136,0,62,198
HUB 5-B2,0,0,0,0,0
HUB 5-C,138,138,0,58,196
HUB 5-D,109,109,0,58,167
