Precinct,Shelly Lykins,Jessica Spitler,John Chris Tilton,Total Votes Cast,Overvotes,Undervotes,Contest Total,,,,,,
CLATWP-C2,18,21,18,57,0,108,165,,0,0,0,55,55
CLATWP-C4,2,4,4,10,0,20,30,,0,0,0,10,10
GERTWP-A3,23,23,19,65,0,94,159,,0,0,0,53,53
JAKTWP-B2,0,0,0,0,0,0,0,,,,,,
