Precinct,YES,NO,Total Votes Cast,Overvotes,Undervotes,Contest Total
CTN 1-A1,133,184,317,0,53,370
CTN 1-A2,0,1,1,0,1,2
CTN 1-B1,29,33,62,0,7,69
CTN 1-B2,0,0,0,0,0,0
CTN 1-B3,148,117,265,0,46,311
CTN 1-C1,217,161,378,0,64,442
CTN 1-C2,13,8,21,0,0,21
CTN 1-D1,134,74,208,0,31,239
CTN 1-D2,13,10,23,0,1,24
CTN 2-A,112,94,206,0,35,241
CTN 2-B,186,120,306,0,41,347
CTN 2-C1,181,127,308,0,42,350
CTN 2-C2,16,16,32,0,7,39
CTN 3-A,197,152,349,0,51,400
CTN 3-B,188,115,303,0,53,356
CTN 3-C,113,125,238,0,34,272
