Precinct,FOR THE REPEAL OF THE INCOME TAX,AGAINST THE REPEAL OF THE INCOME TAX,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A2,0,0,0,0,0,0
MIATWP-J1,112,113,225,0,2,227
MIATWP-J2,38,27,65,0,1,66
