Precinct,Teri Murphy,Erica Watts,Total Votes Cast,Overvotes,Undervotes,Contest Total
MOR 1-A1,10,21,31,0,3,34
MOR 1-A2,18,9,27,0,2,29
MOR 2-A1,83,77,160,0,3,163
MOR 2-A2,36,18,54,0,14,68
MOR 3-A1,54,63,117,0,4,121
MOR 3-A2,0,0,0,0,0,0
MOR 4-A,44,27,71,0,5,76
MOR 4-B,14,23,37,0,9,46
