Precinct,REP Sarah Clark Thacker,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 2-A1,110,110,0,88,198
MBG 2-A2,0,0,0,0,0
MBG 2-B,125,125,0,67,192
MBG 2-C,180,180,0,94,274
