Precinct,YES,NO,Total Votes Cast,Overvotes,Undervotes,Contest Total
WCR-A1,60,50,110,0,12,122
WCR-A2,1,6,7,0,2,9
WCR-A3,0,0,0,0,0,0
WCR-B,93,67,160,0,14,174
WCR-C,101,73,174,0,14,188
WCR-D,116,84,200,0,11,211
WCR-E,49,30,79,0,9,88
WCR-F,47,33,80,0,13,93
WCR-G,123,52,175,0,21,196
WCR-H,72,62,134,0,11,145
WCR-I,40,21,61,0,3,64
