Precinct,Michael Hughes,Jared Ledford,Darren McNew,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A1,158,179,168,505,0,443,948
BRK-A2,1,0,1,2,0,7,9
BRK-B,117,120,115,352,0,269,621
BRK-C,136,154,129,419,0,451,870
BRK-D1,108,115,116,339,0,309,648
BRK-D2,2,1,2,5,0,4,9
